user|artist_uri|artist_name|total_followers|genres
3|5schNIzWdI9gJ1QRK8SBnc|Ben Howard|1944147|['british singer-songwriter', 'folk-pop', 'indie folk', 'neo mellow', 'pop rock', 'stomp and holler']
3|6FQqZYVfTNQ1pCqfkwVFEa|Foals|1261255|['indie rock', 'modern rock', 'new rave', 'oxford indie', 'rock']
3|6LuN9FCkKOj5PcnpouEgny|Khalid|15114511|['pop', 'pop r&b']
3|6hl5k4gLl1p3sjhHcb57t2|Circa Waves|250879|['english indie rock', 'indie surf', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']
3|74XFHRwlV6OrjEM0A2NCMF|Paramore|6816032|['candy pop', 'pixie', 'pop emo', 'pop punk']
3|7dGJo4pcD2V6oG8kP0tJRR|Eminem|54424001|['detroit hip hop', 'hip hop', 'rap']
3|7gP3bB2nilZXLfPHJhMdvc|Foster The People|3411542|['indietronica', 'modern rock', 'pop rock', 'rock']
4|2YZyLoL8N0Wb9xBt1NhZWg|Kendrick Lamar|19719320|['conscious hip hop', 'hip hop', 'rap', 'west coast rap']
4|2a0uxJgbvvIRI4GX8pYfcr|J Hus|883950|['afroswing', 'grime', 'uk hip hop']
4|50nN8IFD4xA67fI4jYbLV4|Kano|270185|['grime', 'uk alternative hip hop', 'uk hip hop']
4|5Matrg5du62bXwer29cU5T|Benny The Butcher|233810|['boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'upstate ny rap']
4|6W4vm8P3JFQboO4cvHeqaa|Knucks|123597|['uk alternative hip hop']
4|6l3HvQ5sa6mXTsMTB19rO5|J. Cole|16412856|['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']
