track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
12 Summers|2044mxQGxi3ZlCdATO9oOm|0.751|0.419|0.335|3.6e-05|90.108|0.0555|173333|11|0.133|-14.765|0|4|audio_features|0.601
Can't Tell Me Nothing|0mEdbdeRFQwBhN4xfyIeUM|0.596|0.62|0.039|0.0|80.029|0.0122|271600|5|0.82|-6.133|0|4|audio_features|0.102
All Night (feat. Knox Fortune)|60xaS8mYBKUW4VQQ666N0T|0.704|0.777|0.195|0.0|111.921|0.0358|141542|2|0.151|-5.729|1|4|audio_features|0.392
Bring Me Love|5MDgHT305bgpZSCz9mYo1X|0.498|0.856|0.416|0.0|191.404|0.193|199253|2|0.158|-6.257|1|4|audio_features|0.598
Ashley|55ZcA6PazdlXjE1jO5GrzJ|0.663|0.531|0.0827|0.0|125.014|0.137|186188|7|0.146|-6.339|1|4|audio_features|0.366
Don't Play|4I5bvu2KDsrCg0EWHIcvul|0.695|0.784|0.0402|0.0|128.031|0.0889|188581|6|0.0843|-6.564|0|4|audio_features|0.52
MONEY|7hU3IHwjX150XLoTVmjD0q|0.831|0.554|0.218|6.12e-05|140.026|0.161|168228|1|0.152|-9.998|0|4|audio_features|0.396
Carolina|3Dwq1oiOFys6Sxr5SslmXw|0.624|0.673|0.0268|1.54e-06|121.986|0.000569|189613|4|0.104|-4.017|0|4|audio_features|0.458
Moon|7CC6UbCs4iGsePSzFxYxNn|0.319|0.236|0.0318|1.62e-05|162.351|0.898|156091|5|0.272|-9.644|1|4|audio_features|0.254
Lalala|51Fjme0JiitpyXKuyQiCDo|0.843|0.39|0.0846|0.0|129.972|0.178|160627|2|0.137|-7.899|1|4|audio_features|0.495
SoulMate|4YLtrBhzjsI2LT6ybXQHeD|0.765|0.784|0.0488|0.00121|109.956|0.0222|196232|7|0.187|-5.215|0|4|audio_features|0.449
UGH!|1aKuG1GG76xPLUkjBbQo3W|0.72|0.824|0.128|0.0|165.998|0.0394|225012|10|0.0509|-5.086|0|4|audio_features|0.333
After Hours|2p8IUWQDrpjuFltbdgLOag|0.664|0.572|0.0305|0.00604|108.959|0.0811|361027|5|0.121|-6.099|0|4|audio_features|0.143
Immortal|6AGON2BGdPmPMJGiiNuuwl|0.744|0.43|0.309|2.73e-06|92.039|0.455|201667|3|0.126|-10.604|0|4|audio_features|0.266
One Thing Right|4hPpVbbakQNv8YTHYaOJP4|0.659|0.625|0.045|0.0|88.042|0.0644|181824|4|0.582|-2.253|1|4|audio_features|0.442
Puste sie weg|14P8s5aiDr32gcQ5ESaYBO|0.82|0.693|0.0996|0.0366|92.456|0.0708|191103|2|0.0906|-6.808|1|4|audio_features|0.575
So Close|7FjZU7XFs7P9jHI9Z0yRhK|0.7|0.872|0.0666|7.08e-06|125.03|0.121|190302|10|0.103|-5.896|1|4|audio_features|0.761
P FKN R|0fgsKar6uBO08vzHXkTjWi|0.82|0.635|0.0772|0.0|101.024|0.409|258280|5|0.244|-5.749|0|4|audio_features|0.528
